"Ausprägung","Jahr","Raumbezug","Bevölkerungsdichte","Hauptwohnsitzbevölkerung","Fläche_in_km²","BezirksID"
"insgesamt",2017,"Neuhausen",7629,98520,12.9,9
"insgesamt",2017,"Moosach",4837,53662,11.1,10
"insgesamt",2017,"Milbertshofen",5570,74731,13.4,11
"insgesamt",2017,"Schwabing",2974,76341,25.7,12
"insgesamt",2017,"Bogenhausen",3626,85971,23.7,13
"insgesamt",2017,"Berg am Laim",7219,45582,6.3,14
"insgesamt",2017,"Trudering",3207,72006,22.5,15
"insgesamt",2017,"Ramersdorf",5754,114478,19.9,16
"insgesamt",2017,"Obergiesing",9429,53937,5.7,17
"insgesamt",2017,"Untergiesing",6529,52600,8.1,18
"insgesamt",2017,"Thalkirchen",5379,95554,17.8,19
"insgesamt",2017,"Hadern",5380,49626,9.2,20
"insgesamt",2017,"Pasing",4491,74098,16.5,21
"insgesamt",2017,"Aubing",1362,46385,34.1,22
"insgesamt",2017,"Allach",2115,32677,15.5,23
"insgesamt",2017,"Feldmoching",2106,60933,28.9,24
"insgesamt",2017,"Laim",10647,56281,5.3,25
"insgesamt",2016,"Stadt München",4966,1542860,310.7,26
"insgesamt",2016,"Altstadt",6820,21454,3.1,1
"insgesamt",2016,"Ludwigsvorstadt",12477,54915,4.4,2
"insgesamt",2016,"Maxvorstadt",12435,53443,4.3,3
"insgesamt",2016,"Schwabing-West",15908,69407,4.4,4
"insgesamt",2016,"Haidhausen",14693,61999,4.2,5
"insgesamt",2016,"Sendling",10468,41230,3.9,6
"insgesamt",2016,"Sendling-Westpark",7572,59174,7.8,7
"insgesamt",2016,"Schwanthalerhöhe",14627,30282,2.1,8
"insgesamt",2016,"Neuhausen",7707,99538,12.9,9
"insgesamt",2016,"Moosach",4855,53859,11.1,10
